# OrderedDict([('code', u'180705'), ('alder (opsjonalt)', u'22'), (u'kj\xf8nn', 'mann'), ('date', u'2018_mar_12_1419'), ('expName', 'StroopMW'), ('frameRate', 59.984746266094916)])
subj,trial,time,color,condition,correct,response,RT
180705,0,1.8141062947,yellow,incongruent,correct,k,0.833110470921
180705,1,3.8349626325,red,congruent,correct,d,0.556273114686
180705,2,5.8550023296,green,neutral,correct,f,0.61638068598
180705,3,7.87561162719,blue,congruent,correct,j,0.467619812367
180705,4,9.89595169788,green,neutral,correct,f,0.751585921356
180705,5,11.9167675023,blue,incongruent,incorrect,d,0.570458513459
180705,6,13.9392387748,green,congruent,incorrect,k,0.772015165454
180705,7,15.9591978318,yellow,incongruent,correct,k,0.624047039186
180705,8,17.9795187025,yellow,neutral,correct,k,0.555734234225
180705,9,20.000344747,blue,neutral,incorrect,f,0.758942087632
180705,10,22.0220027921,red,congruent,correct,d,0.481261210676
180705,11,24.0416077155,blue,congruent,incorrect,k,0.669634278089
180705,12,26.0627494935,yellow,incongruent,correct,k,0.744756262193
180705,13,28.083546098,blue,incongruent,correct,j,1.0599625045
180705,14,30.1057494236,blue,incongruent,correct,j,0.477674647613
180705,15,32.1270874684,yellow,congruent,correct,k,1.06412336138
180705,16,34.1480508997,green,incongruent,correct,f,0.819214352396
180705,17,36.1686755573,blue,neutral,incorrect,d,0.542669263075
180705,18,38.1891235747,yellow,neutral,incorrect,f,0.618135567474
180705,19,40.2103540995,yellow,congruent,correct,k,0.436915572835
180705,20,42.2316307043,blue,incongruent,correct,j,1.29564910562
180705,21,44.2524750954,green,neutral,correct,f,1.16314595255
180705,22,46.2721124455,blue,congruent,correct,j,0.535158643335
180705,23,48.2926748097,yellow,neutral,correct,k,0.626598508028
180705,24,50.3128292803,blue,neutral,incorrect,d,0.702427479406
180705,25,52.3332034843,red,neutral,correct,d,0.714063969335
180705,26,55.4709222152,red,probe,-1,2,-1
180705,27,57.7990820686,green,incongruent,incorrect,j,0.864546871082
180705,28,59.8204222468,yellow,congruent,correct,k,1.06686128372
180705,29,61.8413630646,yellow,congruent,correct,k,0.870221542591
180705,30,63.8624331626,yellow,incongruent,correct,k,0.592828239212
180705,31,65.8819898726,blue,congruent,incorrect,d,0.909354162646
180705,32,67.9023721834,yellow,incongruent,correct,k,0.633225500354
180705,33,69.9222173203,green,incongruent,incorrect,j,1.04506329179
180705,34,71.9425544043,yellow,neutral,none,none,-1
180705,35,73.9569689233,blue,neutral,correct,j,0.786317470993
180705,36,75.9778329411,red,congruent,incorrect,f,0.589457996339
180705,37,77.9992597327,blue,incongruent,incorrect,k,0.632032966005
180705,38,80.0206942043,red,congruent,incorrect,f,0.994589435384
180705,39,82.0409860616,yellow,neutral,correct,k,0.51045120892
180705,40,84.0625634667,red,congruent,correct,d,0.584746738987
180705,41,86.0837722315,red,congruent,correct,d,0.371533543712
180705,42,88.1038161953,red,incongruent,correct,d,0.367519033618
180705,43,90.1241327993,red,neutral,correct,d,0.379187523577
180705,44,92.1461820981,red,incongruent,correct,d,0.341125411094
180705,45,94.1689008375,green,incongruent,incorrect,d,0.302595671546
180705,46,96.1888108278,yellow,incongruent,correct,k,0.634752968323
180705,47,98.2098079657,red,congruent,correct,d,0.613713163701
180705,48,100.231175451,yellow,congruent,correct,k,0.464187276106
180705,49,102.251592321,green,neutral,correct,f,0.780012612278
180705,50,104.272766953,red,congruent,correct,d,0.854777049408
180705,51,106.293105743,green,neutral,correct,f,0.866215992504
180705,52,108.313855841,red,congruent,correct,d,0.573483582706
180705,53,110.335309939,red,congruent,correct,d,0.552233431241
180705,54,112.356596784,red,congruent,correct,d,0.370713489676
180705,55,114.37875147,green,congruent,correct,f,0.956857989851
180705,56,116.399632128,red,congruent,correct,d,0.53575597718
180705,57,118.421782547,red,incongruent,correct,d,1.04172718227
180705,58,120.443110351,red,incongruent,correct,d,0.396220924773
180705,59,122.463067702,red,incongruent,correct,d,0.360265267427
180705,60,124.483316466,yellow,neutral,correct,k,0.404295598331
180705,61,126.504052483,red,neutral,correct,d,0.543241850235
180705,62,129.210387806,yellow,probe,-1,2,-1
180705,63,131.522922686,green,incongruent,correct,f,0.756524165565
180705,64,133.542842917,blue,congruent,incorrect,d,0.608503132589
180705,65,135.562628747,blue,congruent,correct,j,0.620709223003
180705,66,137.582800284,blue,congruent,correct,j,0.392719268453
180705,67,139.604206596,red,congruent,correct,d,0.627126295149
180705,68,141.624472426,green,neutral,incorrect,k,0.574876223895
180705,69,143.646780712,red,incongruent,incorrect,f,0.824860010547
