# OrderedDict([('code', u'443829'), ('alder (opsjonalt)', u'24'), (u'kj\xf8nn', 'kvinne'), ('date', u'2018_mar_13_1423'), ('expName', 'StroopMW'), ('frameRate', 59.946083648279291)])
subj,trial,time,color,condition,correct,response,RT
443829,0,1.81148485247,blue,neutral,correct,j,1.25149162794
443829,1,3.83005809499,yellow,incongruent,correct,k,0.7850801366
443829,2,5.84890141773,yellow,neutral,correct,k,0.558137649612
443829,3,7.86863007457,red,congruent,correct,d,0.506677339035
443829,4,9.88679841007,red,neutral,correct,d,0.424172308623
443829,5,11.9053379459,yellow,neutral,correct,k,0.677901378469
443829,6,13.946092754,yellow,neutral,incorrect,d,0.476899820285
443829,7,15.9655304239,green,incongruent,correct,f,1.14577377773
443829,8,17.9838250529,blue,congruent,correct,j,0.743163514169
443829,9,20.0018798949,yellow,neutral,correct,k,0.741141965773
443829,10,22.0200968705,green,neutral,correct,f,0.883178993645
443829,11,24.0406336347,blue,incongruent,correct,j,0.974399978157
443829,12,26.0614942391,green,congruent,correct,f,0.537529205358
443829,13,28.0804356953,red,neutral,correct,d,0.486571081878
443829,14,30.1006183259,yellow,congruent,correct,k,0.498341545252
443829,15,32.120345276,yellow,congruent,correct,k,0.494611195398
443829,16,34.1391732388,green,neutral,correct,f,0.491990606497
443829,17,36.1579990682,blue,congruent,correct,j,0.408997469014
443829,18,38.1769336977,green,neutral,correct,f,0.390509986573
443829,19,40.1978915822,red,congruent,correct,d,0.481139183903
443829,20,42.2179103726,yellow,incongruent,correct,k,0.477106753802
443829,21,44.2362280416,green,neutral,incorrect,d,0.490776738799
443829,22,46.2568932326,blue,incongruent,correct,j,0.678451778942
443829,23,48.2749028479,blue,congruent,correct,j,0.564096908027
443829,24,50.2938123041,red,neutral,correct,d,0.529295384993
443829,25,53.9556893489,red,probe,-1,3,-1
443829,26,56.2669438011,green,incongruent,correct,f,1.0520683111
443829,27,58.2856706438,yellow,congruent,correct,k,0.489350390912
443829,28,60.3053485272,blue,incongruent,correct,j,0.741685539571
443829,29,62.3240493432,green,neutral,correct,f,0.610968841364
443829,30,64.3427292525,blue,congruent,correct,j,0.688304800686
443829,31,66.3631119899,yellow,incongruent,correct,k,0.572230461636
443829,32,68.3840715811,red,incongruent,correct,d,0.582953457451
443829,33,70.4050401323,green,congruent,correct,f,0.418173796839
443829,34,72.4232315078,yellow,neutral,incorrect,d,0.4958225031
443829,35,74.4440793123,green,congruent,correct,f,1.03494573649
443829,36,76.4653473838,red,incongruent,correct,d,0.549681109063
443829,37,78.4842854266,blue,neutral,correct,j,0.754822190778
443829,38,80.5037239498,blue,neutral,correct,j,0.607570011794
443829,39,82.5228979395,red,incongruent,correct,d,0.636210462901
443829,40,84.5434189171,green,incongruent,correct,f,0.583868231566
443829,41,86.5641796814,yellow,incongruent,correct,k,0.770922044518
443829,42,88.5824743104,green,neutral,correct,f,1.28058861277
443829,43,90.6009788595,yellow,incongruent,incorrect,j,0.878118722663
443829,44,92.6203913561,red,neutral,correct,d,0.634799475025
443829,45,94.6387354784,blue,congruent,correct,j,0.920514918842
443829,46,96.6569725073,blue,neutral,correct,j,0.726121152955
443829,47,98.6762467637,yellow,neutral,correct,k,0.451128278291
443829,48,100.69566054,yellow,neutral,correct,k,0.607530331756
443829,49,102.713839542,red,neutral,correct,d,0.557493809058
443829,50,104.732572358,green,neutral,correct,f,0.794786811552
443829,51,106.752247682,red,neutral,correct,d,0.486894922149
443829,52,108.77302594,yellow,incongruent,correct,k,0.546147452718
443829,53,110.793913424,blue,incongruent,incorrect,f,0.941155789791
443829,54,112.81295728,blue,incongruent,none,none,-1
443829,55,114.831008709,green,neutral,correct,f,1.41612536842
443829,56,116.850565419,blue,congruent,correct,j,0.740715298743
443829,57,118.869014075,yellow,neutral,correct,k,0.546397906262
443829,58,120.89023948,blue,incongruent,incorrect,f,0.668802704044
443829,59,122.910097843,red,neutral,correct,d,0.505024857615
443829,60,124.931057861,red,congruent,correct,d,0.724059071203
443829,61,126.950277931,yellow,congruent,correct,k,0.880798191618
443829,62,135.139362252,yellow,probe,-1,3,-1
443829,63,137.452786733,red,congruent,correct,d,0.842478372251
443829,64,139.472016616,red,neutral,correct,d,0.519094202959
443829,65,141.491318606,red,neutral,correct,d,0.435789171868
443829,66,143.512749238,green,congruent,incorrect,j,0.958644871382
443829,67,145.532029894,yellow,incongruent,incorrect,j,0.827078252441
443829,68,147.552338391,green,congruent,correct,f,0.806774448451
443829,69,149.572981822,green,congruent,correct,f,0.722156136238
443829,70,151.591597305,green,incongruent,correct,f,1.03981486065
443829,71,153.610094601,yellow,neutral,correct,k,0.637001503572
443829,72,155.629839044,green,incongruent,correct,f,0.937476213316
443829,73,157.649496874,yellow,incongruent,correct,k,0.757745713279
443829,74,159.670167612,yellow,congruent,correct,k,0.752994775889
443829,75,161.688553548,yellow,neutral,correct,k,0.622572904598
443829,76,163.70691303,blue,congruent,correct,j,0.796200786084
443829,77,165.725096725,blue,congruent,correct,j,0.682307568903
443829,78,167.744489169,yellow,congruent,correct,k,0.598641577511
443829,79,169.764083425,yellow,congruent,correct,k,0.787354271881
443829,80,171.784344989,green,congruent,correct,f,1.10290099448
443829,81,173.803145645,red,neutral,correct,d,0.796250279469
443829,82,175.822214248,red,incongruent,correct,d,1.04905518852
443829,83,177.843414053,blue,incongruent,correct,j,1.14001718615
443829,84,182.422652521,red,probe,-1,3,-1
443829,85,184.735396468,green,congruent,correct,f,1.17573561663
443829,86,186.755457925,red,congruent,correct,d,0.835920499987
443829,87,188.773882687,yellow,incongruent,correct,k,1.23346622589
443829,88,190.79308953,yellow,neutral,correct,k,0.846044455291
443829,89,192.814605922,green,congruent,correct,f,0.872533651229
443829,90,194.834289779,yellow,congruent,correct,k,0.677020737727
443829,91,196.852870701,red,incongruent,correct,d,1.25062293387
443829,92,198.873826879,blue,incongruent,correct,j,1.19754384857
443829,93,200.893090895,yellow,neutral,correct,k,0.618042127397
443829,94,202.914205793,red,congruent,correct,d,0.884909128457
443829,95,204.935355252,yellow,incongruent,correct,k,0.927803671722
443829,96,206.953927214,green,incongruent,correct,f,1.26133568968
443829,97,208.973369151,green,neutral,correct,f,0.714028555973
443829,98,210.991208099,green,incongruent,correct,f,0.984009799693
443829,99,213.012005984,green,congruent,correct,f,0.915493474553
443829,100,215.03149912,blue,neutral,correct,j,0.751854294918
443829,101,217.050196096,red,incongruent,correct,d,0.877196268542
443829,102,219.068661819,red,incongruent,correct,d,0.730451396652
443829,103,221.091909625,blue,incongruent,incorrect,f,0.851586006691
443829,104,223.110700468,red,incongruent,none,none,-1
443829,105,225.13249718,green,congruent,correct,f,0.842710052442
443829,106,227.15188749,blue,neutral,correct,j,1.03141890681
443829,107,229.170471825,blue,congruent,correct,j,0.756897925887
443829,108,232.164894861,yellow,probe,-1,2,-1
443829,109,234.477982275,green,incongruent,none,none,-1
443829,110,236.496523944,green,neutral,correct,f,0.742835407218
443829,111,238.515754253,green,incongruent,correct,f,0.771422098282
443829,112,240.535689844,blue,incongruent,correct,j,0.799808255841
443829,113,242.556669915,green,congruent,correct,f,0.826511211955
443829,114,244.575799958,red,neutral,correct,d,0.679545326544
443829,115,246.594398374,blue,neutral,correct,j,0.661107764143
