# OrderedDict([('code', u'497562'), ('alder (opsjonalt)', u'22'), (u'kj\xf8nn', 'mann'), ('date', u'2018_mar_09_1124'), ('expName', 'StroopMW'), ('frameRate', 59.979194443512711)])
subj,trial,time,color,condition,correct,response,RT
497562,0,1.81434434431,red,incongruent,correct,d,1.15240940492
497562,1,3.83588415674,blue,congruent,correct,j,0.6188544612
497562,2,5.85404861348,red,neutral,correct,d,0.888581262616
497562,3,7.87313680239,red,congruent,correct,d,0.59748403522
497562,4,9.89280525721,blue,neutral,correct,j,1.12213872366
497562,5,11.9113200068,red,congruent,correct,d,0.799287723578
497562,6,13.9433127126,red,incongruent,correct,d,0.703510992839
497562,7,15.962207195,red,incongruent,correct,d,0.732500395733
497562,8,17.9817058367,yellow,incongruent,correct,k,0.440897995651
497562,9,20.000550826,yellow,neutral,correct,k,0.438032079319
497562,10,22.0191500555,green,neutral,correct,f,0.867624702774
497562,11,24.0394256562,red,incongruent,correct,d,1.4714332099
497562,12,26.0576694728,red,congruent,correct,d,0.508918388584
497562,13,28.0799120044,green,congruent,incorrect,j,0.870997925123
497562,14,30.0992480863,yellow,neutral,correct,k,0.931361367857
497562,15,32.1176740894,yellow,congruent,correct,k,0.656928439132
497562,16,34.1369858513,yellow,neutral,correct,k,0.605876131146
497562,17,36.1576407582,green,incongruent,correct,f,0.921079567685
497562,18,38.1763517743,blue,neutral,correct,j,0.614462786821
497562,19,40.1953409766,yellow,congruent,correct,k,0.62738010362
497562,20,42.2139768994,red,congruent,correct,d,0.640610166685
497562,21,44.2336573009,blue,congruent,correct,j,0.65323223053
497562,22,46.2532203692,green,incongruent,correct,f,0.71351034004
497562,23,48.2733769301,green,incongruent,incorrect,j,0.917383359083
497562,24,50.2934336511,blue,neutral,correct,j,1.12111259164
497562,25,52.312003014,blue,incongruent,correct,j,0.734821886095
497562,26,54.3336337063,yellow,incongruent,correct,k,1.2410147315
497562,27,56.3530414681,red,congruent,correct,d,0.933666644907
497562,28,58.3725477898,blue,incongruent,correct,j,0.978024988128
497562,29,60.3919465916,blue,neutral,correct,j,0.606604876879
